timestamp,open,low,high,close,volume
2021-11-01 09:00:00,366,358,366,358,0
2021-11-01 09:01:00,360,354,360,354,137700
2021-11-01 09:02:00,352,342,354,342,846600
2021-11-01 09:03:00,342,342,342,342,532800
2021-11-01 09:04:00,342,342,350,350,53900
2021-11-01 09:05:00,350,346,354,346,105700
2021-11-01 09:06:00,352,352,354,354,22100
2021-11-01 09:07:00,354,354,356,356,44200
2021-11-01 09:08:00,356,356,358,358,44000
2021-11-01 09:09:00,358,356,358,356,38400
2021-11-01 09:10:00,356,352,356,352,61200
2021-11-01 09:11:00,352,350,354,354,5800
2021-11-01 09:12:00,354,354,354,354,6300
2021-11-01 09:13:00,354,352,354,354,16300
2021-11-01 09:14:00,354,354,354,354,7100
2021-11-01 09:15:00,354,352,354,354,35400
2021-11-01 09:16:00,352,352,352,352,14200
2021-11-01 09:17:00,352,352,352,352,3000
2021-11-01 09:18:00,352,352,352,352,11500
2021-11-01 09:19:00,352,342,352,344,853900
2021-11-01 09:20:00,344,342,344,344,194600
2021-11-01 09:21:00,344,344,348,348,13200
2021-11-01 09:22:00,348,348,350,348,9300
2021-11-01 09:23:00,346,344,346,344,61800
2021-11-01 09:24:00,342,342,342,342,425300
2021-11-01 09:25:00,344,342,346,342,294100
2021-11-01 09:26:00,342,342,346,346,60900
2021-11-01 09:27:00,346,346,348,346,14800
2021-11-01 09:28:00,346,346,346,346,24800
2021-11-01 09:29:00,346,342,346,342,95700
2021-11-01 09:30:00,344,342,344,344,24400
2021-11-01 09:31:00,346,344,346,344,16500
2021-11-01 09:32:00,342,342,344,344,105400
2021-11-01 09:33:00,344,344,346,346,26800
2021-11-01 09:34:00,346,346,346,346,19200
2021-11-01 09:35:00,344,344,346,344,32800
2021-11-01 09:36:00,346,344,346,346,35000
2021-11-01 09:37:00,346,346,346,346,21500
2021-11-01 09:38:00,346,346,346,346,16300
2021-11-01 09:39:00,346,346,346,346,500
2021-11-01 09:40:00,344,342,344,344,235100
2021-11-01 09:41:00,344,342,344,342,82000
2021-11-01 09:42:00,344,342,344,342,1400
2021-11-01 09:43:00,342,342,344,342,17500
2021-11-01 09:44:00,342,342,342,342,47000
2021-11-01 09:45:00,342,342,342,342,69300
2021-11-01 09:46:00,342,342,342,342,53000
2021-11-01 09:47:00,342,342,342,342,56400
2021-11-01 09:48:00,342,342,342,342,40600
2021-11-01 09:49:00,342,342,344,344,2500
2021-11-01 09:50:00,344,344,344,344,400
2021-11-01 09:51:00,342,342,344,344,11400
2021-11-01 09:52:00,342,342,344,342,11200
2021-11-01 09:53:00,342,342,342,342,13400
2021-11-01 09:54:00,342,342,342,342,500
2021-11-01 09:55:00,344,344,344,344,17800
2021-11-01 09:56:00,344,344,344,344,3500
2021-11-01 09:57:00,342,342,342,342,26900
2021-11-01 09:58:00,342,342,342,342,19900
2021-11-01 09:59:00,342,342,342,342,2500
2021-11-01 10:00:00,342,342,342,342,249900
2021-11-01 10:01:00,342,342,342,342,1200
2021-11-01 10:02:00,342,342,342,342,13300
2021-11-01 10:03:00,342,342,342,342,3400
2021-11-01 10:04:00,344,344,344,344,1000
2021-11-01 10:05:00,342,342,342,342,4200
2021-11-01 10:06:00,342,342,342,342,14500
2021-11-01 10:07:00,342,342,342,342,1300
2021-11-01 10:08:00,342,342,342,342,10700
2021-11-01 10:09:00,342,342,342,342,0
2021-11-01 10:10:00,342,342,342,342,3500
2021-11-01 10:11:00,342,342,342,342,0
2021-11-01 10:12:00,342,342,342,342,500
2021-11-01 10:13:00,342,342,342,342,0
2021-11-01 10:14:00,342,342,342,342,0
2021-11-01 10:15:00,342,342,342,342,0
2021-11-01 10:16:00,342,342,342,342,800
2021-11-01 10:17:00,342,342,342,342,0
2021-11-01 10:18:00,342,342,342,342,12500
2021-11-01 10:19:00,342,342,342,342,7500
2021-11-01 10:20:00,342,342,342,342,5600
2021-11-01 10:21:00,342,342,342,342,27200
2021-11-01 10:22:00,342,342,342,342,20000
2021-11-01 10:23:00,342,342,342,342,5100
2021-11-01 10:24:00,342,342,342,342,500
2021-11-01 10:25:00,342,342,342,342,0
2021-11-01 10:26:00,342,342,342,342,7000
2021-11-01 10:27:00,342,342,342,342,0
2021-11-01 10:28:00,342,342,342,342,0
2021-11-01 10:29:00,342,342,342,342,100
2021-11-01 10:30:00,342,342,342,342,500
2021-11-01 10:31:00,342,342,342,342,0
2021-11-01 10:32:00,342,342,342,342,0
2021-11-01 10:33:00,342,342,342,342,9000
2021-11-01 10:34:00,342,342,342,342,100
2021-11-01 10:35:00,342,342,342,342,0
2021-11-01 10:36:00,342,342,342,342,0
2021-11-01 10:37:00,342,342,342,342,0
2021-11-01 10:38:00,342,342,342,342,0
2021-11-01 10:39:00,342,342,342,342,0
2021-11-01 10:40:00,342,342,342,342,6200
2021-11-01 10:41:00,342,342,342,342,20100
2021-11-01 10:42:00,342,342,342,342,0
2021-11-01 10:43:00,342,342,342,342,1400
2021-11-01 10:44:00,342,342,342,342,88100
2021-11-01 10:45:00,342,342,342,342,4300
2021-11-01 10:46:00,342,342,342,342,1000
2021-11-01 10:47:00,342,342,342,342,0
2021-11-01 10:48:00,342,342,342,342,0
2021-11-01 10:49:00,342,342,342,342,0
2021-11-01 10:50:00,342,342,342,342,200
2021-11-01 10:51:00,342,342,342,342,0
2021-11-01 10:52:00,342,342,342,342,0
2021-11-01 10:53:00,342,342,342,342,100
2021-11-01 10:54:00,342,342,342,342,4000
2021-11-01 10:55:00,342,342,342,342,0
2021-11-01 10:56:00,342,342,342,342,8800
2021-11-01 10:57:00,342,342,342,342,0
2021-11-01 10:58:00,342,342,342,342,0
2021-11-01 10:59:00,342,342,342,342,2800
2021-11-01 11:00:00,342,342,342,342,100
2021-11-01 11:01:00,342,342,342,342,0
2021-11-01 11:02:00,342,342,342,342,1000
2021-11-01 11:03:00,342,342,342,342,0
2021-11-01 11:04:00,342,342,342,342,0
2021-11-01 11:05:00,342,342,342,342,200
2021-11-01 11:06:00,342,342,342,342,200
2021-11-01 11:07:00,342,342,342,342,2500
2021-11-01 11:08:00,342,342,342,342,0
2021-11-01 11:09:00,342,342,342,342,0
2021-11-01 11:10:00,342,342,342,342,29800
2021-11-01 11:11:00,342,342,342,342,0
2021-11-01 11:12:00,342,342,342,342,0
2021-11-01 11:13:00,342,342,342,342,0
2021-11-01 11:14:00,342,342,342,342,0
2021-11-01 11:15:00,342,342,342,342,4400
2021-11-01 11:16:00,342,342,342,342,700
2021-11-01 11:17:00,342,342,342,342,0
2021-11-01 11:18:00,342,342,342,342,100
2021-11-01 11:19:00,342,342,342,342,0
2021-11-01 11:20:00,342,342,342,342,0
2021-11-01 11:21:00,342,342,342,342,0
2021-11-01 11:22:00,342,342,342,342,0
2021-11-01 11:23:00,342,342,342,342,0
2021-11-01 11:24:00,342,342,342,342,2500
2021-11-01 11:25:00,342,342,342,342,0
2021-11-01 11:26:00,342,342,342,342,6000
2021-11-01 11:27:00,342,342,342,342,0
2021-11-01 11:28:00,342,342,342,342,0
2021-11-01 11:29:00,342,342,342,342,0
2021-11-01 11:30:00,342,342,342,342,0
2021-11-01 11:31:00,342,342,342,342,0
2021-11-01 11:32:00,342,342,342,342,0
2021-11-01 11:33:00,342,342,342,342,0
2021-11-01 11:34:00,342,342,342,342,0
2021-11-01 11:35:00,342,342,342,342,0
2021-11-01 11:36:00,342,342,342,342,0
2021-11-01 11:37:00,342,342,342,342,0
2021-11-01 11:38:00,342,342,342,342,0
2021-11-01 11:39:00,342,342,342,342,0
2021-11-01 11:40:00,342,342,342,342,0
2021-11-01 11:41:00,342,342,342,342,0
2021-11-01 11:42:00,342,342,342,342,0
2021-11-01 11:43:00,342,342,342,342,0
2021-11-01 11:44:00,342,342,342,342,0
2021-11-01 11:45:00,342,342,342,342,0
2021-11-01 11:46:00,342,342,342,342,0
2021-11-01 11:47:00,342,342,342,342,0
2021-11-01 11:48:00,342,342,342,342,0
2021-11-01 11:49:00,342,342,342,342,0
2021-11-01 11:50:00,342,342,342,342,0
2021-11-01 11:51:00,342,342,342,342,0
2021-11-01 11:52:00,342,342,342,342,0
2021-11-01 11:53:00,342,342,342,342,0
