timestamp,open,low,high,close,volume
2021-11-01 09:00:00,1725,1700,1730,1715,0
2021-11-01 09:01:00,1715,1710,1725,1725,1233500
2021-11-01 09:02:00,1720,1720,1745,1740,2140500
2021-11-01 09:03:00,1740,1740,1745,1740,1003000
2021-11-01 09:04:00,1740,1735,1745,1740,693700
2021-11-01 09:05:00,1740,1725,1740,1725,502100
2021-11-01 09:06:00,1725,1720,1725,1720,290200
2021-11-01 09:07:00,1720,1715,1740,1740,1878000
2021-11-01 09:08:00,1740,1730,1740,1740,426300
2021-11-01 09:09:00,1740,1735,1740,1735,164400
2021-11-01 09:10:00,1735,1730,1740,1730,535600
2021-11-01 09:11:00,1730,1730,1735,1735,370000
2021-11-01 09:12:00,1735,1735,1740,1740,382300
2021-11-01 09:13:00,1740,1740,1750,1750,918400
2021-11-01 09:14:00,1750,1750,1760,1755,783600
2021-11-01 09:15:00,1755,1750,1755,1750,172900
2021-11-01 09:16:00,1750,1750,1750,1750,100500
2021-11-01 09:17:00,1750,1750,1765,1765,852700
2021-11-01 09:18:00,1765,1755,1765,1755,383500
2021-11-01 09:19:00,1755,1750,1755,1755,31900
2021-11-01 09:20:00,1755,1750,1790,1785,2172900
2021-11-01 09:21:00,1785,1775,1785,1775,977100
2021-11-01 09:22:00,1775,1775,1790,1790,985000
2021-11-01 09:23:00,1785,1785,1795,1795,797100
2021-11-01 09:24:00,1790,1775,1795,1780,870700
2021-11-01 09:25:00,1775,1775,1780,1780,274900
2021-11-01 09:26:00,1780,1780,1790,1790,632600
2021-11-01 09:27:00,1790,1780,1795,1780,1205600
2021-11-01 09:28:00,1785,1775,1785,1780,468400
2021-11-01 09:29:00,1775,1775,1785,1785,57000
2021-11-01 09:30:00,1785,1785,1795,1795,924100
2021-11-01 09:31:00,1795,1795,1810,1795,930300
2021-11-01 09:32:00,1800,1790,1800,1795,370500
2021-11-01 09:33:00,1790,1790,1795,1790,213900
2021-11-01 09:34:00,1790,1790,1800,1795,231500
2021-11-01 09:35:00,1800,1800,1810,1810,671300
2021-11-01 09:36:00,1810,1800,1815,1800,1932200
2021-11-01 09:37:00,1800,1795,1800,1800,506800
2021-11-01 09:38:00,1795,1795,1800,1795,91400
2021-11-01 09:39:00,1800,1795,1800,1795,405600
2021-11-01 09:40:00,1800,1795,1805,1800,411400
2021-11-01 09:41:00,1800,1785,1800,1790,1514700
2021-11-01 09:42:00,1785,1770,1790,1785,1458300
2021-11-01 09:43:00,1785,1780,1785,1785,271700
2021-11-01 09:44:00,1785,1785,1790,1790,123900
2021-11-01 09:45:00,1790,1785,1790,1790,217000
2021-11-01 09:46:00,1790,1785,1790,1790,189500
2021-11-01 09:47:00,1790,1785,1790,1790,435200
2021-11-01 09:48:00,1795,1795,1795,1795,300
