timestamp,open,low,high,close,volume
2021-12-06 09:00:00,3080,3080,3100,3090,0
2021-12-06 09:01:00,3080,2870,3090,2880,4445200
2021-12-06 09:02:00,2880,2870,2980,2920,1274300
2021-12-06 09:03:00,2950,2910,2970,2930,585200
2021-12-06 09:04:00,2920,2890,2940,2900,652700
2021-12-06 09:05:00,2900,2870,2910,2880,1452400
2021-12-06 09:06:00,2870,2870,2910,2900,828400
2021-12-06 09:07:00,2900,2890,2910,2900,229700
2021-12-06 09:08:00,2910,2880,2910,2880,1383700
2021-12-06 09:09:00,2870,2870,2880,2870,1279300
2021-12-06 09:10:00,2870,2870,2900,2900,439400
2021-12-06 09:11:00,2890,2880,2920,2920,312000
2021-12-06 09:12:00,2920,2890,2930,2900,226900
2021-12-06 09:13:00,2900,2900,2920,2900,207200
2021-12-06 09:14:00,2900,2900,2920,2910,422600
2021-12-06 09:15:00,2910,2910,2950,2940,300200
2021-12-06 09:16:00,2940,2920,2970,2920,598700
2021-12-06 09:17:00,2920,2900,2930,2920,670100
2021-12-06 09:18:00,2920,2910,2960,2930,260200
2021-12-06 09:19:00,2930,2930,2970,2960,257200
2021-12-06 09:20:00,2960,2950,2970,2960,250500
2021-12-06 09:21:00,2970,2960,2980,2970,232200
2021-12-06 09:22:00,2980,2980,3030,3010,1061900
2021-12-06 09:23:00,3010,2990,3010,3000,258600
2021-12-06 09:24:00,3010,3000,3040,3010,733400
2021-12-06 09:25:00,3010,2990,3010,3010,287600
2021-12-06 09:26:00,3010,3000,3020,3010,306200
2021-12-06 09:27:00,3020,3010,3020,3010,468400
2021-12-06 09:28:00,3010,3000,3030,3010,1337900
2021-12-06 09:29:00,3010,3000,3020,3020,1450500
2021-12-06 09:30:00,3010,3010,3030,3020,760900
2021-12-06 09:31:00,3020,3010,3050,3050,528200
2021-12-06 09:32:00,3040,3020,3080,3040,948200
2021-12-06 09:33:00,3040,3040,3060,3060,80800
2021-12-06 09:34:00,3050,3050,3070,3060,322000
2021-12-06 09:35:00,3060,3050,3060,3050,504000
2021-12-06 09:36:00,3040,3040,3060,3050,292800
2021-12-06 09:37:00,3050,3030,3050,3030,511100
2021-12-06 09:38:00,3040,3030,3050,3050,571000
2021-12-06 09:39:00,3050,3040,3050,3050,125800
2021-12-06 09:40:00,3050,3040,3080,3070,907400
2021-12-06 09:41:00,3080,3070,3130,3130,6458400
2021-12-06 09:42:00,3130,3130,3260,3260,4067800
2021-12-06 09:43:00,3260,3200,3350,3260,4770200
2021-12-06 09:44:00,3270,3170,3270,3180,1889400
2021-12-06 09:45:00,3190,3150,3250,3230,3005400
2021-12-06 09:46:00,3230,3210,3260,3220,1626600
2021-12-06 09:47:00,3210,3190,3230,3190,879700
2021-12-06 09:48:00,3190,3150,3200,3160,1050300
2021-12-06 09:49:00,3150,3150,3210,3190,1380400
2021-12-06 09:50:00,3190,3170,3190,3170,224100
2021-12-06 09:51:00,3180,3170,3180,3170,227000
2021-12-06 09:52:00,3170,3170,3190,3190,197800
2021-12-06 09:53:00,3190,3150,3190,3180,964200
2021-12-06 09:54:00,3190,3180,3280,3270,2202000
2021-12-06 09:55:00,3270,3250,3290,3280,1111000
2021-12-06 09:56:00,3270,3230,3280,3240,793000
2021-12-06 09:57:00,3230,3220,3240,3220,229700
2021-12-06 09:58:00,3220,3220,3370,3370,3899200
2021-12-06 09:59:00,3350,3350,3490,3430,3192500
2021-12-06 10:00:00,3430,3360,3430,3380,934900
2021-12-06 10:01:00,3380,3370,3420,3420,786700
2021-12-06 10:02:00,3410,3370,3410,3400,861200
2021-12-06 10:03:00,3390,3370,3400,3390,580300
2021-12-06 10:04:00,3390,3390,3450,3420,1045400
2021-12-06 10:05:00,3410,3390,3430,3420,575400
2021-12-06 10:06:00,3420,3390,3420,3400,803900
2021-12-06 10:07:00,3400,3390,3410,3400,302900
2021-12-06 10:08:00,3400,3380,3400,3380,568000
2021-12-06 10:09:00,3380,3380,3440,3420,1429600
2021-12-06 10:10:00,3410,3400,3420,3420,225500
2021-12-06 10:11:00,3420,3420,3480,3450,1613500
2021-12-06 10:12:00,3460,3450,3460,3460,374300
2021-12-06 10:13:00,3470,3460,3500,3480,1687300
2021-12-06 10:14:00,3460,3430,3490,3450,618600
2021-12-06 10:15:00,3450,3440,3470,3460,458600
2021-12-06 10:16:00,3450,3410,3460,3450,591100
2021-12-06 10:17:00,3450,3420,3460,3460,376000
