timestamp,open,low,high,close,volume
2021-11-01 09:00:00,147,145,147,146,0
2021-11-01 09:01:00,146,143,146,143,3895400
2021-11-01 09:02:00,144,143,145,144,683100
2021-11-01 09:03:00,143,143,144,143,570500
2021-11-01 09:04:00,143,142,143,143,300900
2021-11-01 09:05:00,142,141,143,141,704700
2021-11-01 09:06:00,141,141,142,141,435800
2021-11-01 09:07:00,141,141,142,142,483400
2021-11-01 09:08:00,141,141,142,141,256000
2021-11-01 09:09:00,141,141,142,141,709400
2021-11-01 09:10:00,141,140,141,140,1053100
2021-11-01 09:11:00,141,138,141,139,1245100
2021-11-01 09:12:00,140,139,141,141,1915100
2021-11-01 09:13:00,141,141,145,144,2777900
2021-11-01 09:14:00,144,142,144,143,493100
2021-11-01 09:15:00,143,143,144,144,810400
2021-11-01 09:16:00,144,143,144,144,494700
2021-11-01 09:17:00,144,144,145,145,196900
2021-11-01 09:18:00,145,144,145,145,471800
2021-11-01 09:19:00,145,145,146,146,224100
2021-11-01 09:20:00,146,144,146,144,813800
2021-11-01 09:21:00,144,143,145,143,775900
2021-11-01 09:22:00,143,142,143,143,135300
2021-11-01 09:23:00,142,142,143,143,200900
2021-11-01 09:24:00,143,143,143,143,177800
2021-11-01 09:25:00,143,143,143,143,105900
2021-11-01 09:26:00,143,143,143,143,319800
2021-11-01 09:27:00,143,143,143,143,224400
2021-11-01 09:28:00,143,143,144,143,147400
2021-11-01 09:29:00,143,142,143,142,52100
2021-11-01 09:30:00,142,141,143,141,695200
2021-11-01 09:31:00,141,141,142,141,304300
2021-11-01 09:32:00,142,141,142,142,183600
2021-11-01 09:33:00,141,141,142,141,263400
2021-11-01 09:34:00,141,140,141,141,150000
2021-11-01 09:35:00,141,141,141,141,72900
2021-11-01 09:36:00,141,141,142,142,187000
2021-11-01 09:37:00,142,142,142,142,4700
2021-11-01 09:38:00,141,141,142,141,251400
2021-11-01 09:39:00,141,141,141,141,88400
2021-11-01 09:40:00,141,141,142,141,28700
2021-11-01 09:41:00,141,141,142,141,68200
2021-11-01 09:42:00,141,141,142,142,15400
2021-11-01 09:43:00,141,141,142,141,38600
2021-11-01 09:44:00,141,141,142,141,63300
2021-11-01 09:45:00,142,141,142,142,26200
2021-11-01 09:46:00,142,141,142,141,19400
2021-11-01 09:47:00,141,141,141,141,80300
2021-11-01 09:48:00,141,141,141,141,39100
2021-11-01 09:49:00,142,142,143,143,279700
2021-11-01 09:50:00,143,143,144,143,315300
2021-11-01 09:51:00,144,143,144,143,239100
2021-11-01 09:52:00,142,142,143,142,16400
2021-11-01 09:53:00,143,142,143,142,21900
2021-11-01 09:54:00,143,142,143,142,13100
2021-11-01 09:55:00,142,142,142,142,600
2021-11-01 09:56:00,143,142,143,142,8900
