timestamp,open,low,high,close,volume
2021-11-01 09:00:00,1925,1920,1935,1920,0
2021-11-01 09:01:00,1925,1905,1925,1910,352300
2021-11-01 09:02:00,1910,1900,1910,1900,235700
2021-11-01 09:03:00,1910,1900,1910,1905,263100
2021-11-01 09:04:00,1905,1900,1905,1905,172900
2021-11-01 09:05:00,1905,1900,1905,1905,206500
2021-11-01 09:06:00,1905,1905,1920,1920,171300
2021-11-01 09:07:00,1920,1920,1925,1925,58400
2021-11-01 09:08:00,1920,1915,1925,1920,250100
2021-11-01 09:09:00,1915,1915,1915,1915,19900
2021-11-01 09:10:00,1920,1915,1920,1915,23200
2021-11-01 09:11:00,1915,1915,1920,1915,27600
2021-11-01 09:12:00,1915,1910,1915,1915,182200
2021-11-01 09:13:00,1915,1915,1915,1915,69400
2021-11-01 09:14:00,1915,1910,1915,1915,34700
2021-11-01 09:15:00,1920,1915,1920,1915,214000
2021-11-01 09:16:00,1915,1900,1915,1900,964900
2021-11-01 09:17:00,1900,1900,1910,1910,70300
2021-11-01 09:18:00,1900,1895,1900,1895,270700
2021-11-01 09:19:00,1890,1890,1895,1895,260500
2021-11-01 09:20:00,1895,1895,1900,1895,30400
2021-11-01 09:21:00,1895,1895,1900,1900,90600
2021-11-01 09:22:00,1900,1900,1915,1910,47700
2021-11-01 09:23:00,1910,1905,1910,1905,10800
2021-11-01 09:24:00,1905,1900,1905,1900,152400
2021-11-01 09:25:00,1900,1900,1900,1900,9400
2021-11-01 09:26:00,1895,1895,1900,1895,44300
2021-11-01 09:27:00,1895,1890,1895,1895,272200
2021-11-01 09:28:00,1895,1890,1895,1895,17600
2021-11-01 09:29:00,1895,1890,1895,1895,21600
2021-11-01 09:30:00,1895,1890,1895,1895,38300
2021-11-01 09:31:00,1895,1895,1895,1895,82300
2021-11-01 09:32:00,1895,1890,1900,1895,181300
2021-11-01 09:33:00,1900,1895,1900,1895,89900
2021-11-01 09:34:00,1895,1895,1900,1895,239000
2021-11-01 09:35:00,1890,1890,1895,1890,129700
2021-11-01 09:36:00,1890,1885,1890,1885,428800
2021-11-01 09:37:00,1885,1885,1890,1890,93500
2021-11-01 09:38:00,1890,1885,1890,1885,10700
2021-11-01 09:39:00,1885,1885,1890,1885,7000
2021-11-01 09:40:00,1890,1885,1890,1885,51900
2021-11-01 09:41:00,1890,1885,1895,1895,149300
2021-11-01 09:42:00,1895,1895,1895,1895,58700
2021-11-01 09:43:00,1895,1895,1895,1895,7500
2021-11-01 09:44:00,1895,1890,1895,1890,90400
2021-11-01 09:45:00,1890,1890,1895,1895,134300
2021-11-01 09:46:00,1900,1890,1900,1890,168700
2021-11-01 09:47:00,1890,1890,1895,1890,26900
2021-11-01 09:48:00,1895,1890,1895,1890,8000
2021-11-01 09:49:00,1895,1895,1895,1895,300
2021-11-01 09:50:00,1895,1885,1895,1885,398200
2021-11-01 09:51:00,1885,1885,1895,1885,21200
2021-11-01 09:52:00,1890,1885,1890,1885,13000
2021-11-01 09:53:00,1885,1885,1890,1890,135600
2021-11-01 09:54:00,1890,1890,1890,1890,36300
2021-11-01 09:55:00,1890,1890,1895,1895,10200
2021-11-01 09:56:00,1895,1890,1895,1890,13100
2021-11-01 09:57:00,1890,1890,1895,1895,47700
2021-11-01 09:58:00,1895,1895,1900,1895,6700
2021-11-01 09:59:00,1895,1895,1895,1895,200
2021-11-01 10:00:00,1895,1895,1900,1900,303600
2021-11-01 10:01:00,1900,1900,1900,1900,8200
2021-11-01 10:02:00,1900,1895,1900,1895,120800
2021-11-01 10:03:00,1895,1895,1900,1900,11700
2021-11-01 10:04:00,1895,1895,1900,1895,74000
2021-11-01 10:05:00,1895,1895,1900,1900,21700
2021-11-01 10:06:00,1900,1900,1900,1900,2600
2021-11-01 10:07:00,1900,1900,1900,1900,16600
2021-11-01 10:08:00,1900,1900,1900,1900,35900
2021-11-01 10:09:00,1900,1900,1905,1900,10200
2021-11-01 10:10:00,1900,1900,1905,1905,46900
2021-11-01 10:11:00,1905,1905,1905,1905,12400
2021-11-01 10:12:00,1905,1905,1905,1905,30500
2021-11-01 10:13:00,1905,1900,1905,1905,133900
